,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,0.402,0.102,6,-21.048,0,0.0401,0.938,0.000278,0.112,0.307,132.248,audio_features,50LqU2nhdE3fmWOuqOjpjz,spotify:track:50LqU2nhdE3fmWOuqOjpjz,https://api.spotify.com/v1/tracks/50LqU2nhdE3fmWOuqOjpjz,https://api.spotify.com/v1/audio-analysis/50LqU2nhdE3fmWOuqOjpjz,227200,4
11,0.437,0.393,1,-8.767,1,0.0295,0.747,0.00775,0.114,0.194,92.048,audio_features,0WeqauIUZSjsupDGXsXWsP,spotify:track:0WeqauIUZSjsupDGXsXWsP,https://api.spotify.com/v1/tracks/0WeqauIUZSjsupDGXsXWsP,https://api.spotify.com/v1/audio-analysis/0WeqauIUZSjsupDGXsXWsP,193453,4
12,0.691,0.231,11,-10.512,1,0.0471,0.815,0.0,0.103,0.298,85.153,audio_features,6QPqf4WqwZkxM68bGipzvP,spotify:track:6QPqf4WqwZkxM68bGipzvP,https://api.spotify.com/v1/tracks/6QPqf4WqwZkxM68bGipzvP,https://api.spotify.com/v1/audio-analysis/6QPqf4WqwZkxM68bGipzvP,200613,4
13,0.573,0.475,10,-9.235,1,0.0294,0.411,1.58e-05,0.0989,0.431,73.907,audio_features,1MR973dbFeo6FPNUDMRWLg,spotify:track:1MR973dbFeo6FPNUDMRWLg,https://api.spotify.com/v1/tracks/1MR973dbFeo6FPNUDMRWLg,https://api.spotify.com/v1/audio-analysis/1MR973dbFeo6FPNUDMRWLg,196640,4
14,0.552,0.126,11,-18.014,1,0.0306,0.956,0.0153,0.109,0.439,92.441,audio_features,1vNfYCzcCJz0FY7MVVA9lM,spotify:track:1vNfYCzcCJz0FY7MVVA9lM,https://api.spotify.com/v1/tracks/1vNfYCzcCJz0FY7MVVA9lM,https://api.spotify.com/v1/audio-analysis/1vNfYCzcCJz0FY7MVVA9lM,242000,4
15,0.457,0.407,9,-11.475,1,0.0308,0.805,0.884,0.126,0.126,117.053,audio_features,7qH9Z4dJEN0l9bidizW7fq,spotify:track:7qH9Z4dJEN0l9bidizW7fq,https://api.spotify.com/v1/tracks/7qH9Z4dJEN0l9bidizW7fq,https://api.spotify.com/v1/audio-analysis/7qH9Z4dJEN0l9bidizW7fq,257533,4
16,0.453,0.426,9,-12.793,1,0.031,0.76,0.392,0.0976,0.356,148.063,audio_features,4w7sZkcNTSSHMIVQZdIJHu,spotify:track:4w7sZkcNTSSHMIVQZdIJHu,https://api.spotify.com/v1/tracks/4w7sZkcNTSSHMIVQZdIJHu,https://api.spotify.com/v1/audio-analysis/4w7sZkcNTSSHMIVQZdIJHu,394320,4
17,0.537,0.201,11,-9.119,1,0.0378,0.876,0.0,0.12,0.319,114.654,audio_features,5KuYbBvUEqRADgjFg9W66m,spotify:track:5KuYbBvUEqRADgjFg9W66m,https://api.spotify.com/v1/tracks/5KuYbBvUEqRADgjFg9W66m,https://api.spotify.com/v1/audio-analysis/5KuYbBvUEqRADgjFg9W66m,164520,4
18,0.612,0.24,9,-12.821,1,0.033,0.745,7.86e-05,0.115,0.223,122.565,audio_features,57ct8jKi6trntXiRV0NnXi,spotify:track:57ct8jKi6trntXiRV0NnXi,https://api.spotify.com/v1/tracks/57ct8jKi6trntXiRV0NnXi,https://api.spotify.com/v1/audio-analysis/57ct8jKi6trntXiRV0NnXi,228840,4
19,0.606,0.228,3,-14.766,0,0.0414,0.917,0.275,0.149,0.416,132.288,audio_features,6aVjoOuDQV65LxinwWiig4,spotify:track:6aVjoOuDQV65LxinwWiig4,https://api.spotify.com/v1/tracks/6aVjoOuDQV65LxinwWiig4,https://api.spotify.com/v1/audio-analysis/6aVjoOuDQV65LxinwWiig4,150080,4
